epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,243589,1.12526,0.54034,1.04705,1,0.99467,0.995,0.8608,1.13394,0.4423,1.05332,0.000412749,0.000412749,0.000412749
40,244788,1.13162,0.53998,1.04796,1,0.99543,0.995,0.86162,1.12932,0.4432,1.05015,0.000379743,0.000379743,0.000379743
41,245979,1.07651,0.46351,1.03269,1,0.99391,0.995,0.8589,1.15012,0.44887,1.0588,0.000346736,0.000346736,0.000346736
42,247169,1.06657,0.45109,1.02893,1,0.99448,0.995,0.85965,1.14415,0.44716,1.05683,0.000313729,0.000313729,0.000313729
43,248360,1.06497,0.44997,1.02763,1,0.99429,0.995,0.86085,1.13041,0.44419,1.05231,0.000280723,0.000280723,0.000280723
44,249550,1.05458,0.44326,1.02235,1,0.99429,0.995,0.86066,1.13255,0.44323,1.05265,0.000247716,0.000247716,0.000247716
45,250739,1.05503,0.43988,1.02139,1,0.9941,0.995,0.86063,1.1349,0.43777,1.05363,0.00021471,0.00021471,0.00021471
46,251929,1.04666,0.43346,1.01799,1,0.9941,0.995,0.86113,1.1278,0.44068,1.05245,0.000181703,0.000181703,0.000181703
47,253120,1.04606,0.43123,1.01941,1,0.99334,0.995,0.86118,1.12584,0.43513,1.04945,0.000148696,0.000148696,0.000148696
48,254311,1.03998,0.42557,1.01443,1,0.99353,0.995,0.86086,1.12363,0.43209,1.04857,0.00011569,0.00011569,0.00011569
49,255500,1.03356,0.42332,1.01368,1,0.99467,0.995,0.86177,1.12174,0.42926,1.04768,8.26832e-05,8.26832e-05,8.26832e-05
50,256690,1.02779,0.41962,1.01226,1,0.99372,0.995,0.86224,1.11754,0.42768,1.04601,4.96766e-05,4.96766e-05,4.96766e-05
