epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3677.27,1.42423,1.39881,1.16127,1,0.99048,0.995,0.84053,1.27143,0.87387,1.09296,0.000553863,0.000553863,0.000553863
2,17075.8,1.35714,0.94539,1.13556,1,0.99315,0.995,0.83754,1.30607,0.77621,1.10934,0.00108756,0.00108756,0.00108756
3,35370.9,1.35283,0.88444,1.1372,1,0.99067,0.995,0.8215,1.4104,0.7182,1.1632,0.00159925,0.00159925,0.00159925
4,132756,1.33242,0.82768,1.13242,1,0.99124,0.995,0.83785,1.29461,0.66772,1.11565,0.00156798,0.00156798,0.00156798
5,169182,1.30027,0.79037,1.11662,1,0.99448,0.995,0.83845,1.298,0.74497,1.13031,0.00153497,0.00153497,0.00153497
6,170360,1.29441,0.75989,1.11647,1,0.9821,0.99059,0.84138,1.2311,0.66067,1.10423,0.00150197,0.00150197,0.00150197
7,171539,1.28492,0.73771,1.11237,1,0.99448,0.995,0.84396,1.25647,0.6304,1.10348,0.00146896,0.00146896,0.00146896
8,183233,1.27643,0.72841,1.10935,1,0.99486,0.995,0.85058,1.20377,0.5996,1.08475,0.00143595,0.00143595,0.00143595
9,206691,1.25508,0.71314,1.10221,1,0.99353,0.995,0.84531,1.22347,0.5746,1.0894,0.00140295,0.00140295,0.00140295
10,207885,1.25585,0.69332,1.09969,1,0.99486,0.995,0.85114,1.20689,0.55158,1.08384,0.00136994,0.00136994,0.00136994
11,209083,1.255,0.69345,1.10551,1,0.99315,0.995,0.85205,1.1978,0.56064,1.07408,0.00133693,0.00133693,0.00133693
12,210283,1.24347,0.68171,1.09619,1,0.996,0.995,0.84358,1.26408,0.56152,1.10937,0.00130393,0.00130393,0.00130393
13,211497,1.2338,0.67502,1.09284,1,0.99124,0.995,0.85224,1.18858,0.53204,1.08165,0.00127092,0.00127092,0.00127092
14,213953,1.22656,0.67099,1.09122,1,0.99391,0.995,0.85337,1.18264,0.53714,1.07462,0.00123791,0.00123791,0.00123791
15,215131,1.21886,0.65835,1.09044,1,0.99296,0.995,0.85339,1.18778,0.51705,1.07872,0.00120491,0.00120491,0.00120491
16,216289,1.20993,0.64638,1.08156,1,0.99524,0.995,0.85525,1.16847,0.52556,1.07153,0.0011719,0.0011719,0.0011719
17,217449,1.20487,0.63923,1.08032,1,0.99543,0.995,0.85467,1.18411,0.52311,1.07547,0.00113889,0.00113889,0.00113889
18,218629,1.2038,0.63858,1.08302,1,0.99524,0.995,0.8541,1.18669,0.52732,1.07485,0.00110589,0.00110589,0.00110589
19,219808,1.20214,0.63151,1.0786,1,0.99448,0.995,0.85601,1.16987,0.5118,1.07087,0.00107288,0.00107288,0.00107288
20,220990,1.19373,0.62179,1.0722,1,0.99524,0.995,0.85661,1.16569,0.5137,1.06899,0.00103987,0.00103987,0.00103987
21,222182,1.19744,0.62419,1.07762,1,0.99448,0.995,0.8544,1.16894,0.50833,1.07044,0.00100687,0.00100687,0.00100687
22,223367,1.19469,0.60727,1.07464,1,0.99467,0.995,0.85464,1.17441,0.49142,1.07276,0.000973861,0.000973861,0.000973861
23,224549,1.1804,0.61023,1.06922,1,0.99467,0.995,0.85739,1.15636,0.49203,1.07197,0.000940855,0.000940855,0.000940855
24,225736,1.17484,0.60419,1.07082,1,0.99238,0.995,0.85743,1.14945,0.48719,1.06191,0.000907848,0.000907848,0.000907848
25,226935,1.18254,0.59839,1.07247,1,0.99467,0.995,0.85586,1.16872,0.48655,1.06595,0.000874842,0.000874842,0.000874842
26,228135,1.16493,0.58933,1.06692,1,0.99676,0.995,0.85807,1.15904,0.49469,1.06845,0.000841835,0.000841835,0.000841835
27,229322,1.16721,0.5916,1.06477,1,0.99695,0.995,0.85769,1.17039,0.48875,1.06974,0.000808828,0.000808828,0.000808828
28,230502,1.16145,0.58271,1.06516,1,0.99524,0.995,0.85736,1.15496,0.47788,1.06601,0.000775822,0.000775822,0.000775822
29,231681,1.16682,0.58596,1.05954,1,0.99467,0.995,0.85669,1.16323,0.47624,1.06764,0.000742815,0.000742815,0.000742815
30,232859,1.15924,0.57924,1.0596,1,0.99581,0.995,0.85969,1.14898,0.47059,1.06062,0.000709809,0.000709809,0.000709809
31,234036,1.15503,0.57104,1.0563,1,0.99524,0.995,0.85765,1.16032,0.47352,1.06764,0.000676802,0.000676802,0.000676802
32,235228,1.14861,0.56722,1.05347,1,0.99676,0.995,0.86089,1.14187,0.47284,1.05787,0.000643795,0.000643795,0.000643795
33,236430,1.15751,0.57312,1.05823,1,0.99562,0.995,0.85993,1.14061,0.46056,1.05749,0.000610789,0.000610789,0.000610789
34,237627,1.15061,0.55948,1.05642,1,0.99562,0.995,0.85907,1.15022,0.4624,1.06052,0.000577782,0.000577782,0.000577782
35,238817,1.13745,0.55406,1.0527,1,0.99505,0.995,0.86017,1.13847,0.45326,1.05448,0.000544776,0.000544776,0.000544776
36,239997,1.13855,0.55374,1.04995,1,0.99524,0.995,0.85586,1.1763,0.45731,1.07298,0.000511769,0.000511769,0.000511769
37,241193,1.13396,0.55377,1.05014,1,0.99562,0.995,0.86186,1.13086,0.45211,1.05255,0.000478762,0.000478762,0.000478762
38,242392,1.13003,0.54217,1.04809,1,0.99562,0.995,0.86161,1.13379,0.4468,1.05307,0.000445756,0.000445756,0.000445756
