epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1207.88,1.23024,1.04411,1.08527,1,0.99543,0.995,0.85771,1.1555,0.47636,1.05708,0.000553863,0.000553863,0.000553863
2,2387.25,1.18283,0.62228,1.06586,1,0.99562,0.995,0.85711,1.16762,0.49137,1.06225,0.00108756,0.00108756,0.00108756
3,3558.75,1.18987,0.62779,1.07014,1,0.99638,0.995,0.85575,1.17123,0.51074,1.06925,0.00159925,0.00159925,0.00159925
4,4734.41,1.18584,0.61924,1.06607,1,0.99543,0.995,0.85595,1.1672,0.49525,1.07002,0.00156798,0.00156798,0.00156798
5,5909.54,1.17584,0.61184,1.05962,1,0.99562,0.995,0.84671,1.24245,0.51779,1.09228,0.00153497,0.00153497,0.00153497
6,7086.11,1.1719,0.59971,1.05872,1,0.99429,0.995,0.85947,1.14665,0.47705,1.05734,0.00150197,0.00150197,0.00150197
7,8253.47,1.16512,0.59501,1.06066,1,0.996,0.995,0.85616,1.17378,0.49032,1.06686,0.00146896,0.00146896,0.00146896
8,9429.28,1.17883,0.60279,1.05988,1,0.99695,0.995,0.85821,1.15313,0.49207,1.05769,0.00143595,0.00143595,0.00143595
9,10604.4,1.15464,0.58723,1.05366,1,0.99486,0.995,0.85906,1.14465,0.47068,1.05838,0.00140295,0.00140295,0.00140295
10,11777.6,1.16044,0.57898,1.05111,1,0.99581,0.995,0.85935,1.14343,0.47174,1.05556,0.00136994,0.00136994,0.00136994
11,12953.2,1.15496,0.57794,1.05899,1,0.99486,0.995,0.85821,1.15241,0.47408,1.05694,0.00133693,0.00133693,0.00133693
12,14128.2,1.15157,0.57655,1.05282,1,0.996,0.995,0.85236,1.20022,0.48029,1.08147,0.00130393,0.00130393,0.00130393
13,15301.5,1.14743,0.56805,1.05032,1,0.99524,0.995,0.86013,1.14018,0.46222,1.05457,0.00127092,0.00127092,0.00127092
14,16477.3,1.14201,0.57212,1.04878,1,0.99676,0.995,0.86018,1.13755,0.46557,1.0531,0.00123791,0.00123791,0.00123791
15,17650.5,1.13125,0.56133,1.04614,1,0.99524,0.995,0.86037,1.13855,0.45783,1.05368,0.00120491,0.00120491,0.00120491
16,18825,1.12853,0.55778,1.04062,1,0.99524,0.995,0.85901,1.14848,0.46276,1.05585,0.0011719,0.0011719,0.0011719
17,19999.6,1.12544,0.5559,1.04148,1,0.99486,0.995,0.8602,1.13969,0.45634,1.05285,0.00113889,0.00113889,0.00113889
18,21174.7,1.12437,0.55622,1.0443,1,0.99486,0.995,0.86011,1.1411,0.45477,1.04981,0.00110589,0.00110589,0.00110589
19,22350.1,1.12475,0.55246,1.04253,1,0.99276,0.995,0.85927,1.14822,0.45781,1.057,0.00107288,0.00107288,0.00107288
20,23525.8,1.12086,0.54861,1.0355,1,0.99562,0.995,0.85957,1.15144,0.46411,1.05949,0.00103987,0.00103987,0.00103987
21,24699.3,1.12147,0.5483,1.0404,1,0.99543,0.995,0.86159,1.12693,0.45238,1.04382,0.00100687,0.00100687,0.00100687
22,25875.2,1.11566,0.5369,1.03533,1,0.99486,0.995,0.85952,1.13953,0.45027,1.05157,0.000973861,0.000973861,0.000973861
23,27035.1,1.11016,0.54108,1.03406,1,0.99448,0.995,0.86148,1.12615,0.44858,1.05048,0.000940855,0.000940855,0.000940855
24,28209.9,1.10766,0.53618,1.03641,1,0.99429,0.995,0.86181,1.12594,0.45061,1.04845,0.000907848,0.000907848,0.000907848
25,29384.4,1.10698,0.52939,1.03337,1,0.99391,0.995,0.86134,1.12583,0.44505,1.04765,0.000874842,0.000874842,0.000874842
26,30558.3,1.09202,0.52577,1.03075,1,0.99505,0.995,0.86077,1.13718,0.44977,1.05244,0.000841835,0.000841835,0.000841835
27,31734.4,1.09242,0.5269,1.02769,1,0.99486,0.995,0.86108,1.13405,0.44884,1.04838,0.000808828,0.000808828,0.000808828
28,32909.8,1.09276,0.52247,1.02984,1,0.99334,0.995,0.86099,1.12825,0.44212,1.04713,0.000775822,0.000775822,0.000775822
29,34084.5,1.09465,0.5255,1.0277,1,0.99353,0.995,0.8601,1.13199,0.44075,1.05031,0.000742815,0.000742815,0.000742815
30,35259.1,1.0913,0.51887,1.02257,1,0.99505,0.995,0.86149,1.12983,0.43755,1.05033,0.000709809,0.000709809,0.000709809
31,36430.4,1.08844,0.5185,1.02444,1,0.99296,0.995,0.86046,1.13413,0.43731,1.05255,0.000676802,0.000676802,0.000676802
32,37605.6,1.08487,0.51465,1.0204,1,0.99467,0.995,0.86218,1.12337,0.43731,1.04552,0.000643795,0.000643795,0.000643795
33,38782.4,1.08971,0.51889,1.02581,1,0.99334,0.995,0.86138,1.12387,0.43332,1.04713,0.000610789,0.000610789,0.000610789
34,39957,1.07919,0.50889,1.02172,1,0.99448,0.995,0.86162,1.12446,0.43344,1.04837,0.000577782,0.000577782,0.000577782
35,41132.2,1.07195,0.5041,1.02037,1,0.99505,0.995,0.86216,1.12855,0.43252,1.04822,0.000544776,0.000544776,0.000544776
36,42306.8,1.07342,0.50459,1.01766,1,0.99391,0.995,0.86145,1.13084,0.43201,1.04901,0.000511769,0.000511769,0.000511769
37,43481.5,1.06989,0.50492,1.01684,1,0.99505,0.995,0.86267,1.12157,0.42415,1.04517,0.000478762,0.000478762,0.000478762
38,44655.5,1.06713,0.49765,1.01721,1,0.99372,0.995,0.86276,1.12303,0.42795,1.04421,0.000445756,0.000445756,0.000445756
39,45830.4,1.05934,0.49587,1.01405,1,0.99429,0.995,0.86282,1.12327,0.42868,1.04484,0.000412749,0.000412749,0.000412749
40,47003.6,1.06769,0.50016,1.01711,1,0.99391,0.995,0.86274,1.12084,0.42629,1.04322,0.000379743,0.000379743,0.000379743
41,48168.9,1.0062,0.41598,0.99454,1,0.99257,0.995,0.86146,1.12821,0.42991,1.04795,0.000346736,0.000346736,0.000346736
42,49336,0.99376,0.40608,0.99051,1,0.99315,0.995,0.86127,1.12914,0.42674,1.04984,0.000313729,0.000313729,0.000313729
43,50504.3,0.98831,0.40398,0.98799,1,0.99276,0.995,0.86138,1.12827,0.43092,1.04858,0.000280723,0.000280723,0.000280723
44,51672.6,0.9829,0.40137,0.98418,1,0.99257,0.995,0.86154,1.12445,0.42417,1.04503,0.000247716,0.000247716,0.000247716
45,52841,0.98033,0.40133,0.98231,1,0.99257,0.995,0.86062,1.12937,0.43001,1.04711,0.00021471,0.00021471,0.00021471
46,54009.2,0.97679,0.39448,0.98151,1,0.99162,0.995,0.86112,1.12464,0.42654,1.04613,0.000181703,0.000181703,0.000181703
47,55176.4,0.97278,0.39271,0.98072,1,0.99276,0.995,0.86143,1.12761,0.42643,1.0466,0.000148696,0.000148696,0.000148696
48,56342.5,0.96817,0.3917,0.97579,1,0.99143,0.995,0.86145,1.12527,0.42622,1.04697,0.00011569,0.00011569,0.00011569
49,57509.3,0.96782,0.38941,0.97972,1,0.99143,0.995,0.86165,1.12509,0.4233,1.04606,8.26832e-05,8.26832e-05,8.26832e-05
50,58676.9,0.95824,0.38722,0.97564,1,0.99162,0.995,0.86201,1.12334,0.42292,1.04531,4.96766e-05,4.96766e-05,4.96766e-05
